artist,album,track,id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence
Travis Scott,Birds In The Trap Sing McKnight,lose,2AGUFka8kBWCM47h5uTlDb,0.557,0.176,125.999,0.053,0.307,0.0,4,0.832,7,200453,-3.947,0.279
Travis Scott,Birds In The Trap Sing McKnight,guidance,2c2csx4OTYtbkzvbSTXlGY,0.753,0.41,139.98,0.24,0.0609,1.38e-06,4,0.702,11,207107,-2.943,0.453
Travis Scott,Birds In The Trap Sing McKnight,wonderful,1cZlBZwnwGPtYeRIeQcoFh,0.569,0.0571,146.062,0.0786,0.0737,0.0,4,0.769,1,216946,-5.591,0.612
Travis Scott,Rodeo (Expanded Edition),Pornography,2QeQNF182V61Im0QpjdVta,0.649,0.712,128.815,0.117,0.105,0.0,4,0.603,11,231827,-5.887,0.343
Travis Scott,Rodeo (Expanded Edition),Oh My Dis Side (feat. Quavo),2rMFawCg4BW65jzbwztXAV,0.623,0.131,126.018,0.0489,0.352,0.0,4,0.459,1,351253,-4.45,0.205
Travis Scott,Rodeo (Expanded Edition),3500 (feat. Future & 2 Chainz),1SGt65i9AnXYdDQt1AtDRH,0.595,0.13,123.968,0.161,0.114,2.47e-06,4,0.773,8,461840,-6.062,0.338
Travis Scott,Rodeo (Expanded Edition),Wasted (feat. Juicy J),3dtBVBClM5ms0qCBBrqpUb,0.61,0.36,134.923,0.217,0.0836,0.0,4,0.689,10,235680,-9.004,0.119
Travis Scott,Rodeo (Expanded Edition),90210 (feat. Kacy Hill),51EC3I1nQXpec4gDk0mQyP,0.526,0.105,81.404,0.0904,0.113,8.33e-06,4,0.402,9,339067,-6.741,0.312
Travis Scott,Rodeo (Expanded Edition),Pray 4 Love (feat. The Weeknd),2dJ4rGtsOHOgvTQawsCRtg,0.578,0.151,79.94,0.0428,0.2,0.0,4,0.629,1,307000,-4.704,0.211
Travis Scott,Rodeo (Expanded Edition),Nightcrawler (feat. Swae Lee & Chief Keef),3xby7fOyqmeON8jsnom0AT,0.728,0.132,124.045,0.0323,0.00134,0.0,4,0.522,3,321560,-3.801,0.18
Travis Scott,Rodeo (Expanded Edition),Piss On Your Grave (feat. Kanye West),5H25xsIuRWUI8GwcoAoeSG,0.54,0.158,116.877,0.0905,0.00793,1.05e-06,4,0.554,1,166320,-5.687,0.162
Travis Scott,Rodeo (Expanded Edition),Antidote,1wHZx0LgzFHyeIZkUydNXq,0.526,0.124,131.05,0.032,0.00767,0.000148,4,0.713,1,262693,-5.046,0.131
Travis Scott,Rodeo (Expanded Edition),Impossible,0IabpxMpUV7waD7U4uDIMJ,0.464,0.603,147.984,0.171,0.398,2.62e-05,4,0.507,3,242507,-8.531,0.277
Travis Scott,Rodeo (Expanded Edition),Maria I'm Drunk (feat. Justin Bieber & Young Thug),6Yqmv7XJLCrQEauMbPGZSw,0.631,0.12,105.989,0.103,0.377,0.0,4,0.648,4,349933,-5.662,0.142
Travis Scott,Rodeo (Expanded Edition),Flying High (feat. Toro y Moi),6HszFW6X5wM8DKX1SO0LaK,0.827,0.495,130.016,0.04,0.0616,0.0,4,0.628,1,208627,-3.139,0.429
Travis Scott,Rodeo (Expanded Edition),I Can Tell,2hiuiI3ac0I5kJWtkeGHEL,0.8,0.0954,110.013,0.0324,0.000819,0.0,4,0.696,2,235533,-5.68,0.0635
Travis Scott,Rodeo (Expanded Edition),Apple Pie,6scpNkWEmUxmKY7nYjVLsX,0.496,0.156,137.945,0.0364,0.0335,0.0,4,0.655,3,219360,-4.139,0.28
Travis Scott,Rodeo (Expanded Edition),Ok Alright (feat. ScHoolboy Q),0MRZ9nMoLc7qQ8Nhovv8C8,0.661,0.123,122.482,0.083,0.141,0.00018,4,0.53,8,417693,-5.507,0.149
Travis Scott,Rodeo (Expanded Edition),Never Catch Me,3jg8bevUzKYONDLBBQquif,0.521,0.167,99.438,0.033,0.0114,0.0232,4,0.527,10,176160,-8.341,0.127
Travis Scott,Goosebumps (Remix),Goosebumps - Remix,5uEYRdEIh9Bo4fpjDd4Na9,0.593,0.124,124.917,0.0379,0.418,0.0,4,0.841,1,162803,-7.846,0.808
Travis Scott,"FRANCHISE (feat. Future, Young Thug & M.I.A.) [REMIX]","FRANCHISE (feat. Future, Young Thug & M.I.A.) - REMIX",6qUabsNxudatEFedWGHoDh,0.77,0.0731,155.025,0.345,0.0056,0.0,4,0.859,8,207394,-5.358,0.348
Travis Scott,"FRANCHISE (feat. Future, Young Thug & M.I.A.) [REMIX]",FRANCHISE (feat. Young Thug & M.I.A.),3z1R9MSXyRdCvFNtDFwGhB,0.699,0.195,154.981,0.277,0.00671,0.0,4,0.835,8,202795,-5.405,0.547
Travis Scott,FRANCHISE (feat. Young Thug & M.I.A.),FRANCHISE (feat. Young Thug & M.I.A.),4jVBIpuOiMj1crqd8LoCrJ,0.699,0.195,154.981,0.277,0.00671,0.0,4,0.835,8,202795,-5.405,0.547
Travis Scott,"The Plan (From the Motion Picture ""TENET"")","The Plan - From the Motion Picture ""TENET""",551xyaSJsg8hILXFq9JdST,0.443,0.117,79.903,0.0361,0.0922,0.000293,3,0.433,1,185851,-10.568,0.0363
